# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	53366
#@/user_id	sky_win
a 	啊	c=1 d=4.75447e-49 t=53366
kun ming 	昆明	c=2 d=3.23804e-29 t=53366
kun nan 	困難	c=13 d=1.00074 t=53366
kun nian 	困年	c=2 d=1.84789 t=50681
kun shan 	崑山	c=1 d=1 t=37563
kun si 	困死	c=0 d=0.1 t=40925
kuo chong 	擴充	c=1 d=0.308819 t=53366
kuo chuo 	闊綽	c=1 d=1 t=46259
kuo da 	擴大	c=1 d=1 t=483
kuo hao 	括號	c=6 d=0.852144 t=53366
kuo zhan 	擴展	c=47 d=0.320654 t=53366
kuo zhan xing 	擴展性	c=1 d=1 t=944
kuo zhang 	擴張	c=1 d=1.1616e-27 t=53366
la 	啦	c=4 d=0.317635 t=53366
la 	拉	c=9 d=0.0764303 t=53366
la 	辣	c=2 d=1.37121e-29 t=53366
la ba 	喇叭	c=1 d=1 t=27622
la bai cai 	辣白菜	c=2 d=4.19131e-42 t=53366
la bi 	蠟筆	c=0 d=9.78001e-05 t=53366
la bi xiao qiu 	蠟筆小球	c=1 d=0.000982903 t=53366
la du zi 	拉肚子	c=1 d=3.04263e-32 t=53366
la ji 	垃圾	c=5 d=0.481909 t=53366
la ji dui 	垃圾堆	c=1 d=1 t=51520
la ji tong 	垃圾桶	c=1 d=1 t=34725
la ka si ta 	拉卡斯塔	c=1 d=0.767206 t=53366
la la 	啦啦	c=4 d=0.801412 t=53366
la la 	拉拉	c=1 d=0.264477 t=53366
la li 	拉里	c=1 d=1 t=33878
la ma 	喇嘛	c=1 d=0.000761668 t=53366
la mei 	辣妹	c=3 d=1.83338e-34 t=53366
la pu la si 	拉普拉斯	c=1 d=2.94919e-18 t=53366
la qu 	拉去	c=1 d=1 t=43368
la qu 	拉取	c=2 d=9.41376e-07 t=53366
la shang 	拉傷	c=1 d=0.160414 t=53366
la te 	拉特	c=2 d=1 t=53366
la xi 	拉稀	c=6 d=2.77561 t=33043
la zan zhu 	拉贊助	c=1 d=1 t=39420
lai 	來	c=184 d=2.28452 t=53366
lai 	瀨	c=2 d=7.8362e-44 t=53366
lai 	萊	c=5 d=0.130029 t=53366
lai bu ji 	來不及	c=0 d=9.8783e-05 t=53366
lai bu ji le 	來不及了	c=1 d=0.000992781 t=53366
lai bu liao 	來不了	c=1 d=1 t=31880
lai dao 	來到	c=3 d=0.066808 t=53366
lai de 	來的	c=1 d=0.000761668 t=53366
lai de ji 	來得及	c=1 d=4.08747e-05 t=53366
lai er 	倈兒	c=1 d=1 t=47909
lai hui 	來回	c=1 d=2.96862e-07 t=53366
lai kan 	來看	c=5 d=0.18452 t=53366
lai lai lai 	來來來	c=2 d=4.06774e-25 t=53366
lai le 	來了	c=5 d=1 t=37325
lai li 	賴裏	c=1 d=1 t=53366
lai sheng 	來生	c=1 d=2.50964e-31 t=53366
lai shi 	來時	c=5 d=1 t=50222
lai shuo 	來說	c=48 d=1.02816 t=53366
lai si 	萊斯	c=0 d=0.00273237 t=53366
lai si li 	萊斯麗	c=1 d=0.0274607 t=53366
lai yi fa 	來一發	c=1 d=4.02661e-05 t=53366
lai yuan 	來源	c=11 d=1.12944 t=53366
lai zi 	來自	c=9 d=0.32372 t=53366
lai zi yu 	來自於	c=1 d=1 t=29693
lai zuo 	來做	c=1 d=5.26827e-20 t=53366
lan 	懶	c=2 d=0.00132016 t=53366
lan 	欄	c=3 d=0.136014 t=53366
lan 	藍	c=2 d=0.0944887 t=53366
lan 	蘭	c=2 d=1 t=12361
lan bai 	藍白	c=1 d=1.56853e-31 t=53366
lan de 	懶得	c=1 d=1 t=43041
lan guang 	藍光	c=1 d=4.60846e-34 t=53366
lan hei 	藍黑	c=1 d=0.00433948 t=53366
lan jie 	攔截	c=1 d=1 t=34815
lan mei 	藍莓	c=1 d=0.0221482 t=53366
lan mu 	欄目	c=1 d=0.075774 t=53366
lan ren 	懶人	c=2 d=1.9802 t=47930
lan se 	藍色	c=4 d=1.13217 t=53366
lan xi 	蘭溪	c=1 d=3.84264e-43 t=53366
lan ya 	藍牙	c=3 d=1 t=36531
lang 	廊	c=1 d=0.0241131 t=53366
lang 	浪	c=3 d=0.00022941 t=53366
lang ben 	浪奔	c=1 d=6.93561e-49 t=53366
lang du 	朗讀	c=3 d=1.94046e-05 t=53366
lang fei 	浪費	c=5 d=9.56323e-05 t=53366
lang fei jiao da 	浪費較大	c=1 d=1 t=40570
lang man 	浪漫	c=1 d=8.23228e-36 t=53366
lang mu 	朗姆	c=1 d=1.32196e-19 t=53366
lang song 	朗誦	c=1 d=0.000247277 t=53366
lao 	勞	c=1 d=6.54305e-40 t=53366
lao 	撈	c=3 d=1.00016 t=23821
lao 	澇	c=1 d=1.49279e-37 t=53366
lao 	老	c=27 d=1.34646 t=53366
lao ba 	老爸	c=1 d=8.76695e-41 t=53366
lao ban 	老闆	c=19 d=1 t=53366
lao ban hao 	老闆好	c=1 d=0.0515605 t=53366
lao ban tian 	老半天	c=1 d=1 t=20422
lao ban zai 	老闆在	c=2 d=0.540641 t=53366
lao cheng 	老城	c=5 d=0.00988707 t=53366
lao cheng qu 	老城區	c=1 d=3.07383e-05 t=53366
lao da 	老大	c=3 d=2.00532 t=31102
lao dao 	撈到	c=1 d=1 t=1848
lao dong 	勞動	c=1 d=1.56155e-09 t=53366
lao dong she hui 	勞動社會	c=1 d=1 t=49772
lao fang 	老方	c=32 d=0.147138 t=53366
lao fang shuo 	老方說	c=1 d=1 t=42643
lao gan ma 	老乾媽	c=1 d=1 t=27310
lao ge 	老哥	c=2 d=1.81873 t=52455
lao guai 	老怪	c=2 d=0.0149208 t=53366
lao hu 	老虎	c=1 d=2.90875e-32 t=53366
lao jia 	老家	c=1 d=0.00571306 t=53366
lao jie 	老街	c=1 d=1.7558e-05 t=53366
lao ju 	老菊	c=1 d=1 t=44926
lao ke 	嘮嗑	c=1 d=1.08964e-10 t=53366
lao lian 	老練	c=1 d=5.57372e-36 t=53366
lao ling 	老齡	c=3 d=2.06505 t=50565
lao ma 	老媽	c=5 d=4.64607e-12 t=53366
lao nan hai 	老男孩	c=1 d=1 t=40115
lao nian 	老年	c=1 d=9.83541e-41 t=53366
lao nian ren 	老年人	c=4 d=1 t=53366
lao niu 	老牛	c=2 d=1.0488 t=53366
lao po 	老婆	c=5 d=0.00152616 t=53366
lao qian 	老千	c=1 d=1.41777e-48 t=53366
lao shi 	老實	c=1 d=1 t=36366
lao shi 	老師	c=38 d=1.22088 t=53366
lao shi 	老式	c=2 d=2.14119e-16 t=53366
lao shi 	老是	c=6 d=3.89951e-10 t=53366
lao si ji 	老司機	c=3 d=3.47065e-44 t=53366
lao tang 	老唐	c=1 d=6.55797e-08 t=53366
lao tian 	老天	c=1 d=0.0205478 t=53366
lao wai 	老外	c=1 d=1.5037e-05 t=53366
lao xiang 	老鄉	c=2 d=1.00601 t=34139
lao yong hu 	老用戶	c=1 d=1 t=33580
lao you ji 	老友記	c=2 d=1.98511 t=53366
lao yuan gong 	老員工	c=1 d=1 t=42796
lao zi 	老子	c=1 d=0.278037 t=53366
le 	了	c=697 d=3.97058 t=53366
le 	勒	c=1 d=5.00691e-39 t=53366
le 	樂	c=11 d=0.00408677 t=53366
le ma 	了嗎	c=0 d=0.0212133 t=53366
le qu 	樂趣	c=1 d=1 t=22046
le shuo 	了說	c=1 d=1 t=13781
le tian 	樂天	c=1 d=1 t=53366
le yi 	了一	c=0 d=1.20134e-12 t=53366
le yi 	樂意	c=1 d=4.35502e-45 t=53366
le yi ba 	了一把	c=1 d=1.20736e-11 t=53366
le yi ge 	了一個	c=1 d=1.10326e-09 t=53366
le yu 	樂於	c=2 d=3.12892e-24 t=53366
le yu zhu ren 	樂於助人	c=1 d=3.89872e-37 t=53366
le yuan 	樂園	c=1 d=3.28027e-05 t=53366
le zai qi zhong 	樂在其中	c=1 d=9.76805e-19 t=53366
lei 	壘	c=1 d=1.70972e-45 t=53366
lei 	淚	c=3 d=1.91393 t=48092
lei 	累	c=6 d=0.021068 t=53366
lei 	鐳	c=1 d=3.23859e-31 t=53366
lei 	雷	c=5 d=1 t=53366
lei 	類	c=35 d=0.826967 t=53366
lei bi 	類比	c=1 d=0.00647375 t=53366
lei bie 	類別	c=2 d=0.501576 t=53366
lei bo 	雷波	c=1 d=1 t=44184
lei en 	雷恩	c=1 d=0.000534061 t=53366
lei huo 	雷火	c=4 d=3.89241 t=37158
lei ji 	累積	c=2 d=5.67627e-07 t=53366
lei jia 	累加	c=1 d=8.39573e-32 t=53366
lei mu 	淚目	c=1 d=2.70933e-20 t=53366
lei na 	雷娜	c=1 d=0.211189 t=53366
lei si 	類似	c=18 d=1.41672 t=53366
lei si de 	類似的	c=1 d=1 t=9179
lei si yu 	類似於	c=6 d=2.42926 t=53366
lei tui 	類推	c=1 d=1 t=16972
lei xing 	類型	c=68 d=1.69977 t=53366
leng 	冷	c=3 d=0.00557201 t=53366
leng 	楞	c=2 d=0.000784864 t=53366
leng jing 	冷靜	c=1 d=1 t=23668
leng ku 	冷酷	c=2 d=2.41937e-33 t=53366
leng leng 	冷冷	c=1 d=1.60021e-31 t=53366
leng men 	冷門	c=2 d=0.0397816 t=53366
leng qing 	冷清	c=1 d=0.000578542 t=53366
leng que 	冷卻	c=1 d=0.000259956 t=53366
leng yin 	冷飲	c=1 d=2.5235e-37 t=53366
li 	例	c=2 d=0.0101593 t=53366
li 	利	c=2 d=0.0332068 t=53366
li 	力	c=3 d=1 t=53366
li 	李	c=22 d=2.48394 t=53366
li 	歷	c=3 d=0.240508 t=53366
li 	理	c=4 d=0.0804596 t=53366
li 	禮	c=2 d=3.87155e-47 t=53366
li 	立	c=14 d=0.0819587 t=53366
li 	莉	c=1 d=1 t=2758
li 	裏	c=63 d=1.11153 t=53366
li 	離	c=6 d=1.00726 t=53366
li 	麗	c=2 d=0.00273237 t=53366
li an 	離岸	c=2 d=0.821322 t=53366
li ao 	李敖	c=1 d=0.00806679 t=53366
li bai 	李白	c=1 d=9.69754e-22 t=53366
li bai 	禮拜	c=2 d=1 t=23737
li bi 	利弊	c=1 d=1 t=53366
li bo bo 	李伯伯	c=1 d=1 t=53366
li cai 	理財	c=1 d=1 t=50621
li cha de 	理查德	c=1 d=0.00115923 t=53366
li chang 	立場	c=1 d=1 t=1870
li cheng 	歷程	c=1 d=8.46137e-06 t=53366
li ci 	歷次	c=2 d=7.3939e-25 t=53366
li dian chi 	鋰電池	c=1 d=0.00339653 t=53366
li du 	力度	c=1 d=1.35497e-15 t=53366
li du 	粒度	c=5 d=0.434156 t=53366
li fa shi 	理髮師	c=2 d=5.86074e-19 t=53366
li fang 	立方	c=1 d=1 t=34771
li gong 	理工	c=2 d=1 t=53366
li gong 	立功	c=1 d=1 t=31932
li guo 	立國	c=1 d=1 t=49804
li hai 	厲害	c=5 d=0.477114 t=53366
li hang 	李航	c=4 d=1.38674 t=51777
li hong tao 	李洪濤	c=1 d=3.11107e-29 t=53366
li hui 	理會	c=1 d=1 t=44827
li jian cheng 	李建成	c=1 d=1 t=30969
li jie 	理解	c=10 d=0.267135 t=53366
li jing 	李靜	c=1 d=1.80086e-09 t=53366
li ju 	力矩	c=1 d=8.56971e-38 t=53366
li kai 	離開	c=6 d=0.413075 t=53366
li lang 	利朗	c=2 d=0.0998236 t=53366
li liang 	力量	c=1 d=1 t=8376
li lun 	理論	c=20 d=1.71766 t=53366
li lun jie 	理論界	c=1 d=1 t=5056
li luo 	利羅	c=1 d=1.3897e-48 t=53366
li lv 	利率	c=2 d=0.839457 t=53366
li ma 	立馬	c=3 d=1.00007 t=23817
li mi 	釐米	c=1 d=1 t=34772
li mian 	裏面	c=43 d=0.669731 t=53366
li na 	莉娜	c=1 d=8.67557e-06 t=53366
li nian 	理念	c=1 d=1 t=8304
li nian lai 	歷年來	c=1 d=1 t=5001
li ou 	里歐	c=0 d=0.1 t=7244
li pin 	禮品	c=2 d=0.0106202 t=53366
li qi 	利器	c=1 d=0.000395642 t=53366
li qing 	理清	c=1 d=1.75604e-36 t=53366
li qing 	釐清	c=2 d=0.00273944 t=53366
li quan 	禮券	c=1 d=1.46802e-46 t=53366
li ren 	歷任	c=1 d=7.178e-12 t=53366
li ru 	例如	c=11 d=1.50064 t=53366
li san 	離散	c=5 d=0.222017 t=53366
li san hua 	離散化	c=1 d=0.000104638 t=53366
li san xing 	離散性	c=1 d=1 t=4177
li shi 	歷史	c=15 d=0.17263 t=53366
li shi shu 	歷史書	c=1 d=0.000567086 t=53366
li ti 	立體	c=1 d=1.01719e-24 t=53366
li wai 	例外	c=1 d=3.55347e-05 t=53366
li wu 	禮物	c=6 d=0.00540733 t=53366
li xi 	利息	c=2 d=0.822835 t=53366
li xian 	離線	c=5 d=0.26588 t=53366
li xian ji 	歷險記	c=1 d=2.21739e-45 t=53366
li xiang 	理想	c=3 d=3.11382e-10 t=53366
li xiang lan 	李香蘭	c=2 d=1.97531 t=53366
li xiao 	李小	c=1 d=1.21651e-41 t=53366
li xing 	理性	c=3 d=2.99835e-36 t=53366
li xue 	力學	c=1 d=1 t=16850
li yi 	利益	c=3 d=0.618369 t=53366
li yong 	利用	c=25 d=1.28925 t=53366
li yong lv 	利用率	c=18 d=0.235746 t=53366
li you 	理由	c=3 d=4.80828e-05 t=53366
li yu 	利於	c=1 d=0.113042 t=53366
li zheng dao 	李政道	c=1 d=0.000587285 t=53366
li zhi 	荔枝	c=2 d=1.99501 t=30084
li zi 	例子	c=2 d=0.0816756 t=53366
li zi 	栗子	c=1 d=1.18668e-43 t=53366
lian 	戀	c=4 d=2.23298e-30 t=53366
lian 	簾	c=1 d=1 t=46905
lian 	練	c=2 d=0.873716 t=53366
lian 	聯	c=3 d=1.96079 t=11297
lian 	臉	c=5 d=1 t=53366
lian 	連	c=9 d=0.330353 t=53366
lian 	鍊	c=1 d=1 t=18797
lian 	鏈	c=14 d=0.965605 t=53366
lian ai 	戀愛	c=1 d=1 t=21178
lian bang 	聯邦	c=1 d=4.24822e-47 t=53366
lian cang 	鎌倉	c=1 d=0.00460782 t=53366
lian gang 	鍊鋼	c=3 d=0.694527 t=53366
lian guan 	連貫	c=1 d=9.78136e-35 t=53366
lian guo 	連過	c=1 d=1 t=51598
lian he 	聯合	c=3 d=0.481909 t=53366
lian hua 	蓮花	c=1 d=0.247833 t=53366
lian ji 	聯機	c=1 d=0.763379 t=53366
lian jia 	廉價	c=1 d=1 t=2639
lian jie 	連接	c=16 d=1.04744 t=53366
lian jie 	鏈接	c=11 d=0.0992613 t=53366
lian kong 	臉孔	c=1 d=7.98924e-07 t=53366
lian lian 	戀戀	c=2 d=5.32959e-38 t=53366
lian mao yi 	連毛衣	c=1 d=6.69273e-12 t=53366
lian meng 	聯盟	c=4 d=2.02626e-14 t=53366
lian po lao yi 	廉頗老矣	c=1 d=1.03918e-11 t=53366
lian ren 	戀人	c=1 d=0.19205 t=53366
lian shang 	臉上	c=3 d=0.336216 t=53366
lian shang 	連上	c=1 d=2.91736e-08 t=53366
lian shi 	鏈式	c=4 d=1 t=29381
lian ti 	連體	c=1 d=1 t=38878
lian tong 	聯通	c=1 d=1 t=33830
lian wang 	聯網	c=3 d=0.000102129 t=53366
lian xi 	練習	c=1 d=1 t=30936
lian xi 	聯繫	c=22 d=0.718974 t=53366
lian xi ren 	聯繫人	c=1 d=2.47572e-18 t=53366
lian xi wo 	聯繫我	c=1 d=0.062662 t=53366
lian xia 	連下	c=1 d=4.74073e-14 t=53366
lian xiang 	聯想	c=5 d=0.371115 t=53366
lian xu 	連續	c=9 d=0.740818 t=53366
lian xu xing 	連續性	c=6 d=4.89135 t=4236
lian zai 	連載	c=1 d=3.03849e-16 t=53366
liang 	亮	c=3 d=1.73473e-10 t=53366
liang 	倆	c=2 d=8.92613e-45 t=53366
liang 	兩	c=4 d=0.539069 t=53366
liang 	樑	c=3 d=0.000241172 t=53366
liang 	涼	c=1 d=1 t=31836
liang 	糧	c=4 d=1 t=36318
liang 	良	c=31 d=0.979936 t=53366
liang 	輛	c=1 d=2.66392e-27 t=53366
liang 	量	c=38 d=0.70822 t=53366
liang an 	兩岸	c=2 d=0.00474194 t=53366
liang bai 	兩百	c=0 d=0.1 t=32062
liang bai duo 	兩百多	c=1 d=1 t=32063
liang ben 	兩本	c=1 d=2.90569e-49 t=53366
liang bian 	兩邊	c=1 d=1 t=1849
liang bu fen 	兩部分	c=2 d=0.0365162 t=53366
liang chen 	良辰	c=0 d=0.0927743 t=53366
liang chu 	亮出	c=1 d=1 t=5224
liang ci 	兩次	c=1 d=2.48086e-13 t=53366
liang da 	兩大	c=1 d=0.348192 t=53366
liang du 	亮度	c=1 d=7.88907e-35 t=53366
liang fang mian 	兩方面	c=3 d=0.0208095 t=53366
liang fen 	兩份	c=1 d=1 t=42505
liang gang 	量綱	c=1 d=9.71437e-13 t=53366
liang ge 	兩個	c=28 d=0.886947 t=53366
liang ge ren 	兩個人	c=1 d=1 t=19123
liang ge yue 	兩個月	c=1 d=1.57125e-22 t=53366
liang hao 	良好	c=6 d=0.020141 t=53366
liang hua 	量化	c=8 d=0.612626 t=53366
liang jian 	兩件	c=1 d=4.39594e-08 t=53366
liang jian 	兩間	c=1 d=0.215456 t=53366
liang jie 	諒解	c=1 d=0.0131019 t=53366
liang jie duan 	兩階段	c=6 d=1.88692 t=43829
liang kuai 	兩塊	c=1 d=1 t=6248
liang kuan 	兩款	c=0 d=0.1 t=31170
liang lei 	兩類	c=4 d=0.591555 t=53366
liang lun 	兩輪	c=1 d=1 t=48843
liang mian 	兩面	c=1 d=0.00316691 t=53366
liang nan 	兩難	c=1 d=1.41801e-51 t=53366
liang nan quan 	兩難全	c=1 d=1.42512e-50 t=53366
liang nian 	兩年	c=4 d=0.1 t=50520
liang pang 	兩旁	c=1 d=0.000158461 t=53366
liang pian 	兩篇	c=2 d=0.16696 t=53366
liang qi 	量器	c=1 d=0.000156885 t=53366
liang san 	兩三	c=0 d=0.1 t=24730
liang san ci 	兩三次	c=1 d=0.0266491 t=53366
liang san zhi 	兩三只	c=1 d=1 t=24731
liang suo 	兩所	c=1 d=1 t=44919
liang tang 	兩趟	c=1 d=0.00111936 t=53366
liang tian 	兩天	c=3 d=0.568372 t=53366
liang tiao 	兩條	c=1 d=1.13489e-18 t=53366
liang tou 	兩頭	c=2 d=2.67681e-25 t=53366
liang xiang 	兩項	c=1 d=0.0028799 t=53366
liang xiang jie he 	兩相結合	c=1 d=1 t=50369
liang xing 	良性	c=3 d=1.44486 t=53366
liang zhang 	兩張	c=1 d=0.50409 t=53366
liang zhang chuang 	兩張牀	c=1 d=0.214381 t=53366
liang zhe 	兩者	c=1 d=4.79669e-05 t=53366
liang zhi 	兩隻	c=8 d=1 t=47267
liang zhong 	兩種	c=6 d=1 t=53366
liang zi 	量子	c=4 d=0.690734 t=53366
liang zi ji suan ji 	量子計算機	c=1 d=1 t=53366
liao 	了	c=2 d=1 t=45716
liao 	聊	c=2 d=1 t=22013
liao dao 	料到	c=1 d=6.44475e-10 t=53366
liao fa 	療法	c=1 d=1 t=14584
liao jie 	了結	c=2 d=7.50194e-20 t=53366
liao jie 	瞭解	c=15 d=0.0335056 t=53366
liao jie dao 	瞭解到	c=1 d=1.19677e-25 t=53366
liao li 	料理	c=1 d=0.0224249 t=53366
liao liao 	聊聊	c=1 d=4.84489e-05 t=53366
liao liao tian 	聊聊天	c=1 d=0.000262568 t=53366
liao que 	了卻	c=0 d=9.92918e-36 t=53366
liao que jun wang 	了卻君王	c=1 d=9.97895e-35 t=53366
liao ran yu xin 	瞭然於心	c=1 d=1.43036e-05 t=53366
liao rao 	繚繞	c=1 d=1 t=19018
liao tian 	聊天	c=4 d=0.86991 t=53366
lie 	列	c=6 d=1 t=53366
lie 	獵	c=1 d=9.61249e-36 t=53366
lie biao 	列表	c=11 d=1.83111 t=53366
lie chu 	列出	c=1 d=1 t=53366
lie dao 	列道	c=1 d=1.50759e-06 t=53366
lie ju 	列舉	c=2 d=1.92312 t=5000
lie ming 	列明	c=2 d=0.01346 t=53366
lie ri 	烈日	c=3 d=2.9361 t=53366
lie ru 	列入	c=1 d=1 t=36147
lie tou 	獵頭	c=1 d=1 t=48676
lie wen 	裂紋	c=1 d=1 t=40592
lie you 	列有	c=1 d=1 t=46890
lie yu 	列於	c=1 d=1 t=53069
lin 	林	c=4 d=1.00038 t=53366
lin 	琳	c=1 d=0.390628 t=53366
lin 	臨	c=1 d=1 t=30011
lin 	霖	c=1 d=0.516851 t=53366
lin 	麟	c=1 d=0.0383884 t=53366
lin jie 	臨界	c=1 d=0.118245 t=53366
lin ju 	鄰居	c=1 d=5.4626e-05 t=53366
lin mo 	臨摹	c=1 d=0.00384878 t=53366
lin pian 	鱗片	c=1 d=7.14683e-49 t=53366
lin shi 	臨時	c=6 d=0.0990133 t=53366
lin yu 	淋雨	c=1 d=0.0156076 t=53366
lin yu 	鄰域	c=4 d=2.78704 t=44039
lin zhong 	臨終	c=2 d=1.12988e-46 t=53366
ling 	〇	c=1 d=0.0422141 t=53366
ling 	令	c=2 d=0.0774924 t=53366
ling 	另	c=1 d=0.170333 t=53366
ling 	嶺	c=1 d=1 t=53366
ling 	玲	c=1 d=2.47917e-05 t=53366
ling 	零	c=1 d=2.60709e-38 t=53366
ling 	靈	c=4 d=6.90874e-25 t=53366
ling 	領	c=6 d=0.0301974 t=53366
ling 	齡	c=1 d=2.45451e-05 t=53366
ling bu jian 	零部件	c=1 d=1 t=40238
ling bu jian ji 	零部件級	c=1 d=1 t=521
ling chen 	凌晨	c=1 d=1 t=19296
ling cun wei 	另存爲	c=1 d=1 t=6813
ling dian 	零點	c=2 d=7.27753e-19 t=53366
ling gan 	靈感	c=1 d=2.77555e-10 t=53366
ling ge si 	靈格斯	c=2 d=1.1966 t=53366
ling hao 	領好	c=1 d=2.32956e-08 t=53366
ling hu ou 	另互毆	c=1 d=1 t=2768
ling hun 	靈魂	c=2 d=1.97791e-24 t=53366
ling huo 	靈活	c=5 d=0.880947 t=53366
ling huo xing 	靈活性	c=1 d=2.20985e-05 t=53366
ling jian 	零件	c=5 d=2.82182e-28 t=53366
ling mu 	鈴木	c=1 d=0.67368 t=53366
ling mu 	陵墓	c=2 d=1.54403 t=53366
ling qu 	領取	c=1 d=1 t=30875
ling ren 	令人	c=2 d=0.0285814 t=53366
ling ren 	伶人	c=1 d=0.0387742 t=53366
ling san 	零散	c=4 d=1.99501 t=27762
ling shan 	靈山	c=1 d=1 t=53366
ling shi 	零食	c=5 d=6.71187e-42 t=53366
ling shi guan 	領事館	c=3 d=0.00153337 t=53366
ling shou 	零售	c=1 d=1.65896e-14 t=53366
ling wai 	另外	c=10 d=0.023751 t=53366
ling wu 	領悟	c=1 d=1 t=38763
ling yi 	另一	c=0 d=0.0251579 t=53366
ling yi fang mian 	另一方面	c=9 d=0.0468877 t=53366
ling yi ge 	另一個	c=4 d=0.782705 t=53366
ling yi jia 	另一家	c=2 d=1.00011 t=33395
ling yi kuan 	另一款	c=1 d=2.79565e-36 t=53366
ling yi lie 	另一列	c=1 d=1.72103e-05 t=53366
ling yi pian 	另一篇	c=1 d=1 t=21587
ling yi tiao 	令一條	c=1 d=0.778801 t=53366
ling yi zhang 	另一張	c=1 d=0.25284 t=53366
ling yi zhong 	另一種	c=2 d=3.29717e-36 t=53366
ling yin si 	靈隱寺	c=6 d=1 t=45348
ling yu 	領域	c=18 d=1 t=53366
ling yuan 	陵園	c=1 d=1 t=37929
linux 	Linux	c=1 d=0.932394 t=53366
liu 	六	c=2 d=1 t=49153
liu 	劉	c=19 d=0.238115 t=53366
liu 	柳	c=5 d=1 t=46724
liu 	流	c=16 d=2.19502 t=53366
liu 	溜	c=5 d=1.78725e-08 t=53366
liu 	留	c=10 d=0.114401 t=53366
liu chan 	流產	c=1 d=1 t=18130
liu cheng 	流程	c=53 d=2.34056 t=53366
liu cheng tu 	流程圖	c=3 d=0.883672 t=53366
liu chuan 	流傳	c=1 d=0.97531 t=53366
liu cun 	留存	c=1 d=1 t=50176
liu dao 	六道	c=1 d=1.53376e-32 t=53366
liu dong 	流動	c=2 d=1.96079 t=50084
liu ge 	留個	c=1 d=3.12029e-05 t=53366
liu gei 	留給	c=1 d=1 t=24357
liu hai 	劉海	c=1 d=1 t=39156
liu ji 	六級	c=1 d=3.57737e-25 t=53366
liu jiao xing 	六角形	c=1 d=0.000569928 t=53366
liu lan 	瀏覽	c=2 d=4.72608e-07 t=53366
liu lan qi 	瀏覽器	c=4 d=1.1852 t=53366
liu lang 	柳浪	c=1 d=0.000724521 t=53366
liu lang 	流浪	c=1 d=1 t=47251
liu lang mao 	流浪貓	c=3 d=1.74557 t=31974
liu lang zhe 	流浪者	c=2 d=0.00810722 t=53366
liu lao shi 	劉老師	c=1 d=0.136695 t=53366
liu lei 	流淚	c=2 d=1.59994e-29 t=53366
liu li 	琉璃	c=2 d=0.00690852 t=53366
liu liang 	流量	c=5 d=0.641948 t=53366
liu mang 	流氓	c=3 d=0.551563 t=53366
liu meng nan 	劉猛男	c=1 d=1 t=52168
liu ruo ying 	劉若英	c=1 d=1 t=29570
liu san 	六三	c=0 d=0.00407622 t=53366
liu shen 	留神	c=1 d=2.55816e-21 t=53366
liu shi 	流逝	c=1 d=2.59453e-40 t=53366
liu shui 	流水	c=9 d=4.07149 t=43833
liu shui xian 	流水線	c=1 d=1 t=40129
liu tong 	流通	c=1 d=1 t=48949
liu wei 	六維	c=1 d=1 t=9452
liu xia 	留下	c=2 d=0.0098528 t=53366
liu xiang 	流向	c=1 d=1 t=50877
liu xiao 	六小	c=1 d=1 t=39797
liu xing 	流行	c=2 d=1 t=32674
liu xue 	流血	c=1 d=1 t=45737
liu xue 	留學	c=2 d=1.03116e-08 t=53366
liu xue sheng 	留學生	c=3 d=1.10299e-45 t=53366
liu yan 	流言	c=3 d=0.00213426 t=53366
liu yan 	留言	c=2 d=0.00440769 t=53366
liu yi 	留意	c=1 d=3.2853e-23 t=53366
liu yi fei 	劉亦菲	c=1 d=7.0127e-32 t=53366
liu yu 	流域	c=1 d=1.5078e-37 t=53366
liu zai 	留在	c=2 d=1 t=47498
liu zhuan 	流轉	c=1 d=1.21279e-05 t=53366
lo 	咯	c=7 d=1.99551 t=44544
long 	聾	c=1 d=1 t=43077
long 	隆	c=1 d=0.680451 t=53366
long 	龍	c=3 d=0.00810236 t=53366
long duan 	壟斷	c=1 d=1 t=49664
long ge 	龍哥	c=2 d=1.82696 t=37564
long jing 	龍井	c=1 d=0.0475963 t=53366
long mao 	龍貓	c=1 d=1 t=49196
long mei er 	隆美爾	c=2 d=1.52295 t=53366
long tang 	龍塘	c=1 d=0.202909 t=53366
long tong 	籠統	c=1 d=8.97513e-23 t=53366
long tou 	龍頭	c=1 d=1 t=608
long wang 	龍王	c=1 d=1 t=34802
long wu 	隆武	c=1 d=6.60544e-34 t=53366
long yang 	龍陽	c=0 d=6.5886e-05 t=53366
long yang lu 	龍陽路	c=1 d=0.000662162 t=53366
long zhu 	龍珠	c=1 d=2.51693e-48 t=53366
long zi 	籠子	c=1 d=1 t=42928
lou 	嘍	c=1 d=0.621885 t=53366
lou 	樓	c=18 d=0.0804596 t=53366
lou 	漏	c=1 d=0.10383 t=53366
lou dao 	樓道	c=1 d=4.11635e-29 t=53366
lou dao li 	樓道里	c=1 d=1 t=6983
lou ding 	樓頂	c=3 d=1 t=36313
lou dong 	漏洞	c=1 d=1 t=50956
lou shang 	樓上	c=3 d=1.18561 t=20487
lou ti 	樓梯	c=3 d=1 t=19832
lou xia 	樓下	c=8 d=1 t=23781
lu 	擄	c=3 d=1.81088 t=21987
lu 	擼	c=1 d=1 t=27566
