# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	23402
#@/user_id	sky_mac
a 	啊	c=0 d=4.75447e-49 t=23402
ma 	瑪	c=1 d=0.0159614 t=23402
ma 	碼	c=2 d=4.10865e-07 t=23402
ma 	馬	c=4 d=0.503632 t=23402
ma en 	馬恩	c=2 d=6.91553e-07 t=23402
ma er 	馬爾	c=0 d=0.0524663 t=23402
ma er ke fu 	馬爾可夫	c=1 d=0.527292 t=23402
ma er ke si 	馬爾克斯	c=1 d=3.45973e-14 t=23402
ma fan 	麻煩	c=3 d=4.59827e-08 t=23402
ma feng 	馬蜂	c=4 d=3.72312e-29 t=23402
ma feng wo 	馬蜂窩	c=1 d=7.88932e-06 t=23402
ma jia 	馬甲	c=1 d=0.878095 t=23300
ma ke 	馬克	c=0 d=1.29759e-07 t=23402
ma ke fei 	馬克飛	c=1 d=1.3041e-06 t=23402
ma ke si 	馬克思	c=1 d=0.0254765 t=23402
ma lu 	馬路	c=1 d=1 t=18977
ma lv 	碼率	c=1 d=4.87001e-07 t=23402
ma ma 	媽媽	c=1 d=6.49803e-47 t=23402
ma que 	麻雀	c=2 d=0.000206465 t=23300
ma ren 	罵人	c=1 d=0.499074 t=23402
ma shu shu 	馬叔叔	c=1 d=2.51664e-05 t=23300
ma si 	馬斯	c=0 d=0.0169483 t=23300
ma si ke 	馬斯克	c=2 d=0.341519 t=23300
ma tong 	馬桶	c=1 d=2.53184e-17 t=23402
ma yi 	螞蟻	c=1 d=0.000982903 t=23402
ma ying jiu 	馬英九	c=1 d=6.03692e-34 t=23402
mac 	Mac	c=1 d=1 t=21875
mai 	埋	c=1 d=2.11729e-31 t=23402
mai 	買	c=25 d=0.809856 t=23402
mai 	賣	c=2 d=0.055299 t=23402
mai a mi 	邁阿密	c=1 d=1 t=19993
mai chong 	脈衝	c=1 d=1 t=22339
mai chu 	邁出	c=1 d=2.15632e-40 t=23402
mai dang lao 	麥當勞	c=1 d=0.697676 t=23402
mai dao 	買到	c=1 d=0.0510474 t=23402
mai fang 	買房	c=2 d=0.255243 t=23300
mai fang 	賣方	c=1 d=4.35294e-10 t=23300
mai guo 	買過	c=1 d=1.1949e-36 t=23402
mai hao 	買好	c=0 d=0.00181334 t=23402
mai hao le 	買好了	c=1 d=0.0182243 t=23402
mai jia 	賣家	c=6 d=2.55964e-07 t=23402
mai ke a se 	麥克阿瑟	c=1 d=0.00307331 t=23402
mai ke si 	麥克斯	c=1 d=1.10932e-44 t=23402
mai ke si wei 	麥克斯韋	c=2 d=1.2914 t=23402
mai li 	賣力	c=1 d=2.76745e-05 t=23300
mai li zhong 	麥粒腫	c=1 d=0.0963276 t=23402
mai mang 	麥芒	c=1 d=2.6949e-16 t=23402
mai rou 	賣肉	c=1 d=4.24244e-31 t=23402
mai wan 	買玩	c=1 d=0.00637737 t=23300
mai yi fu 	買衣服	c=1 d=2.25526e-09 t=23300
mai zai 	埋在	c=1 d=0.00050296 t=23402
man 	慢	c=2 d=0.00946646 t=23402
man 	滿	c=2 d=0.0203643 t=23402
man 	漫	c=2 d=3.30581e-08 t=23402
man 	蠻	c=1 d=0.0107269 t=23402
man bu 	漫步	c=2 d=0.000542133 t=23402
man chi du 	滿尺度	c=1 d=1 t=22648
man chuan 	滿船	c=1 d=0.0381969 t=23300
man de la 	曼德拉	c=1 d=1.74734e-07 t=23402
man fen 	滿分	c=1 d=0.00394621 t=23402
man ha dun 	曼哈頓	c=2 d=0.00142642 t=23402
man hao 	蠻好	c=1 d=1.61855e-18 t=23402
man hua 	漫畫	c=5 d=0.272532 t=23402
man jin 	蠻進	c=1 d=0.000290183 t=23402
man ku 	蠻苦	c=1 d=3.26391e-05 t=23300
man man 	慢慢	c=3 d=0.458406 t=23402
man man 	滿滿	c=1 d=4.60939e-07 t=23402
man man 	漫漫	c=1 d=0.104874 t=23300
man pao 	慢跑	c=1 d=2.68977e-23 t=23402
man shi 	滿是	c=1 d=5.39704e-10 t=23402
man tou 	饅頭	c=1 d=1.7956e-05 t=23402
man tou shan 	饅頭山	c=1 d=0.00018046 t=23402
man xia lai 	慢下來	c=1 d=3.04636e-17 t=23402
man xin 	滿心	c=2 d=8.17565e-06 t=23300
man yi 	滿意	c=1 d=1.4962e-05 t=23402
man yi 	蠻夷	c=1 d=0.008271 t=23300
man yi dian 	慢一點	c=1 d=3.41461e-36 t=23402
man you 	漫遊	c=3 d=0.0093633 t=23402
man you you 	慢悠悠	c=1 d=0.00932553 t=23300
man zu 	滿足	c=1 d=5.38128e-05 t=23402
man zuo 	滿座	c=2 d=8.61731e-06 t=23300
mang 	忙	c=7 d=0.0303955 t=23402
mang guo 	芒果	c=1 d=7.42989e-06 t=23402
mang lu 	忙碌	c=1 d=2.78558e-23 t=23402
mao 	帽	c=2 d=0.71177 t=23402
mao 	毛	c=6 d=0.0283081 t=23402
mao 	貓	c=4 d=1.98493 t=23402
mao chu 	冒出	c=1 d=3.92853e-09 t=23300
mao chu lai 	冒出來	c=1 d=1 t=22014
mao jian 	毛尖	c=1 d=4.0169e-06 t=23402
mao nang 	毛囊	c=1 d=3.21915e-19 t=23402
mao tu ying 	貓禿鷹	c=1 d=4.00027e-16 t=23402
mao xian 	冒險	c=1 d=1.41926e-31 t=23402
mao xian xiao hu dui 	冒險小虎隊	c=1 d=6.27133e-41 t=23402
mao yi 	毛衣	c=10 d=5.12788e-08 t=23402
me 	麼	c=9 d=0.869187 t=23402
mei 	妹	c=3 d=0.97531 t=23402
mei 	媚	c=1 d=2.06502e-31 t=23402
mei 	梅	c=2 d=0.566758 t=23402
mei 	每	c=1 d=0.071719 t=23402
mei 	沒	c=36 d=0.958781 t=23402
mei 	湄	c=1 d=1 t=19686
mei 	煤	c=1 d=2.0615e-11 t=23300
mei 	美	c=7 d=0.059774 t=23402
mei 	莓	c=1 d=0.120633 t=23402
mei ban fa 	沒辦法	c=2 d=4.64528e-10 t=23402
mei bu sheng shou 	美不勝收	c=1 d=1 t=19665
mei ci 	每次	c=12 d=0.112478 t=23402
mei cuo 	沒錯	c=3 d=0.672686 t=23402
mei dang 	每當	c=1 d=1 t=20227
mei de wei jie fu 	梅德韋傑夫	c=1 d=6.97773e-32 t=23402
mei di 	美帝	c=2 d=0.390628 t=23402
mei duan 	每段	c=1 d=6.64441e-15 t=23402
mei fa 	沒法	c=5 d=0.546074 t=23402
mei ge 	每個	c=8 d=0.215371 t=23402
mei ge ren 	每個人	c=1 d=5.97704e-05 t=23402
mei gong he 	湄公河	c=2 d=1.99501 t=19646
mei gu 	美股	c=1 d=2.75364e-05 t=23402
mei guang 	鎂光	c=1 d=0.236928 t=23402
mei gui 	玫瑰	c=1 d=0.010889 t=23402
mei guo 	美國	c=46 d=2.86586 t=23402
mei guo ren 	美國人	c=1 d=0.0105145 t=23300
mei hang 	美航	c=1 d=0.00109172 t=23402
mei hang 	美行	c=1 d=0.000925663 t=23402
mei hao 	美好	c=5 d=0.0617291 t=23402
mei hao shi guang 	美好時光	c=1 d=1.66037e-24 t=23402
mei jie 	媒介	c=1 d=1.49798e-19 t=23402
mei jin 	美金	c=2 d=0.0390959 t=23402
mei jing 	美景	c=4 d=6.23465e-17 t=23402
mei ju 	美劇	c=5 d=0.000266473 t=23402
mei lan 	魅藍	c=2 d=0.0963902 t=23300
mei le 	沒了	c=1 d=3.04325e-05 t=23402
mei li 	美麗	c=6 d=2.5742e-06 t=23402
mei li 	魅力	c=2 d=1.72253 t=19719
mei liao dao 	沒料到	c=1 d=0.0235177 t=23402
mei long 	梅龍	c=3 d=0.181557 t=23402
mei mei 	妹妹	c=1 d=3.09766e-37 t=23402
mei mei 	美美	c=1 d=8.28227e-19 t=23402
mei nian 	每年	c=3 d=0.820515 t=23402
mei nv 	美女	c=3 d=0.0151913 t=23300
mei ren 	沒人	c=1 d=2.1942e-39 t=23402
mei ren yu 	美人魚	c=2 d=1.58235e-09 t=23300
mei ri 	每日	c=2 d=0.104454 t=23402
mei sha 	沒啥	c=1 d=1 t=23008
mei shao nv 	美少女	c=1 d=1.83781e-42 t=23402
mei shen me 	沒什麼	c=2 d=0.000804733 t=23402
mei shi 	沒事	c=4 d=0.132347 t=23402
mei shi 	美食	c=1 d=1.76947e-08 t=23402
mei shi jia 	美食家	c=2 d=0.00598005 t=23402
mei shou 	每首	c=1 d=1 t=23007
mei shui 	沒睡	c=1 d=4.72608e-07 t=23300
mei si 	沒死	c=1 d=0.000841773 t=23402
mei tian 	每天	c=2 d=3.16034e-08 t=23402
mei tuan 	美團	c=3 d=1.15445 t=23402
mei wei 	美味	c=5 d=1.23243e-07 t=23402
mei wen hua 	沒文化	c=1 d=1 t=21214
mei wen ti 	沒問題	c=10 d=0.0274918 t=23402
mei xiang 	沒想	c=0 d=2.56085e-05 t=23402
mei xiang dao 	沒想到	c=2 d=5.67375e-10 t=23402
mei xiang hao 	沒想好	c=1 d=0.000257369 t=23402
mei xing qu 	沒興趣	c=1 d=1.81767e-30 t=23402
mei ya 	美亞	c=1 d=0.0459593 t=23402
mei yao 	沒要	c=1 d=2.50537e-11 t=23402
mei ye 	每頁	c=1 d=6.91558e-15 t=23402
mei yi 	每一	c=0 d=5.52784e-28 t=23402
mei yi bu 	每一步	c=1 d=0.00155699 t=23402
mei yi ci 	每一次	c=1 d=1 t=23202
mei yi ge 	每一個	c=8 d=1.45477 t=23402
mei yi jian 	每一間	c=1 d=5.55555e-27 t=23402
mei yi si 	沒意思	c=1 d=4.75528e-50 t=23402
mei yi tian 	每一天	c=2 d=1.91782e-05 t=23300
mei yong 	沒用	c=1 d=0.00042433 t=23402
mei yong guo 	沒用過	c=1 d=5.5758e-11 t=23402
mei you 	沒有	c=97 d=1.7694 t=23402
mei you bi yao 	沒有必要	c=1 d=1 t=20824
mei you le 	沒有了	c=1 d=0.000393669 t=23402
mei you ren 	沒有人	c=2 d=0.254107 t=23402
mei yuan 	美元	c=5 d=0.214574 t=23402
mei yuan 	美院	c=1 d=6.88438e-50 t=23402
mei zhong 	每種	c=1 d=1.07565e-05 t=23402
mei zhong bu zu 	美中不足	c=1 d=1.40395e-21 t=23402
mei zhou 	每週	c=1 d=1 t=23402
mei zhu yi 	沒主意	c=1 d=3.77835e-21 t=23402
mei zi 	妹子	c=4 d=2.55054e-34 t=23402
mei zu 	魅族	c=5 d=1 t=23402
mei zuo 	沒做	c=1 d=4.86918e-05 t=23300
men 	們	c=14 d=0.825945 t=23402
men 	悶	c=1 d=4.9804e-06 t=23402
men 	門	c=4 d=0.00831246 t=23402
men hu 	門戶	c=4 d=0.343548 t=23402
men ka 	門卡	c=0 d=0.0126186 t=23402
men kou 	門口	c=1 d=1 t=20156
men mian 	門面	c=0 d=0.0287941 t=23300
men piao 	門票	c=1 d=0.000902809 t=23402
men qian 	門前	c=1 d=4.46527e-45 t=23402
men shang 	門上	c=1 d=2.37655e-37 t=23402
men tou 	門頭	c=1 d=0.00052611 t=23402
meng 	夢	c=5 d=2.97025 t=23402
meng 	懵	c=1 d=0.856415 t=23402
meng 	萌	c=2 d=1.08027e-30 t=23402
meng gu 	蒙古	c=1 d=0.000405658 t=23402
meng huan 	夢幻	c=2 d=1.05263e-07 t=23402
meng jun 	盟軍	c=2 d=4.33181e-32 t=23402
meng xiang 	夢想	c=1 d=1.03865e-05 t=23300
meng you 	夢遊	c=1 d=5.3683e-06 t=23402
meng zhong 	夢中	c=1 d=0.97531 t=23402
mi 	眯	c=1 d=1.57752e-10 t=23300
mi 	米	c=2 d=0.0471227 t=23402
mi 	迷	c=4 d=1.03865e-05 t=23402
mi du 	密度	c=3 d=1.55159e-13 t=23402
mi gong 	迷宮	c=3 d=0.995012 t=23402
mi huan 	迷幻	c=1 d=9.25821e-06 t=23402
mi ling 	密令	c=1 d=7.71289e-34 t=23402
mi lu 	迷路	c=1 d=2.90025e-27 t=23402
mi ma 	密碼	c=14 d=0.394554 t=23402
mi mi 	祕密	c=6 d=0.402524 t=23402
mi ren 	迷人	c=1 d=1.69599e-09 t=23402
mi shi 	迷失	c=1 d=1.94314e-38 t=23402
mi shi zi ji 	迷失自己	c=1 d=2.09259e-40 t=23402
mi wang 	迷惘	c=1 d=0.0102037 t=23402
mi yao 	密鑰	c=2 d=3.80453e-14 t=23402
mi yi yang 	謎一樣	c=1 d=1.84702e-42 t=23402
mi zi 	米字	c=1 d=1.80362e-27 t=23402
mian 	棉	c=2 d=0.634448 t=23402
mian 	麪	c=2 d=0.108917 t=23402
mian ban 	面板	c=5 d=6.53992e-05 t=23300
mian bao 	麪包	c=2 d=1.99005 t=21940
mian de 	免得	c=1 d=0.000164106 t=23402
mian dian 	緬甸	c=1 d=0.00051312 t=23402
mian dui 	面對	c=2 d=0.00375379 t=23300
mian fei 	免費	c=6 d=0.442821 t=23402
mian ji 	面積	c=1 d=3.43125e-05 t=23402
mian jing 	麪精	c=1 d=1.50493e-44 t=23402
mian lin 	面臨	c=1 d=1.17531e-18 t=23402
mian qian 	面前	c=3 d=0.0435593 t=23300
mian qian 	麪簽	c=1 d=4.65492e-05 t=23300
mian sha 	面紗	c=1 d=3.62329e-28 t=23402
mian shi 	面試	c=1 d=0.213312 t=23402
mian shui 	免稅	c=2 d=0.225373 t=23402
mian shui dian 	免稅店	c=1 d=0.214381 t=23402
mian tan 	面癱	c=1 d=1.65181e-22 t=23402
mian tiao 	麪條	c=1 d=0.217621 t=23402
mian xiang 	面向	c=18 d=0.701173 t=23402
mian xiu 	免修	c=1 d=4.50938e-43 t=23402
mian you 	面油	c=1 d=0.000208619 t=23300
mian zhi 	面值	c=2 d=1.79322e-10 t=23300
mian zi 	面子	c=1 d=0.021068 t=23300
miao 	妙	c=1 d=0.000113922 t=23300
miao 	廟	c=2 d=3.84359e-08 t=23402
miao sha 	秒殺	c=2 d=3.40035e-08 t=23300
miao shu 	描述	c=23 d=1.17933 t=23402
miao xiao 	渺小	c=1 d=0.0258615 t=23402
miao zhun 	瞄準	c=1 d=0.0564161 t=23300
mie 	滅	c=2 d=0.819885 t=23402
min 	敏	c=1 d=4.62054e-06 t=23402
min 	民	c=2 d=0.0254788 t=23402
min gan 	敏感	c=1 d=0.117655 t=23402
min gan xing 	敏感性	c=1 d=1.2111e-18 t=23402
min guo 	民國	c=2 d=2.94568e-05 t=23402
min guo da shi guan 	民國大使館	c=1 d=0.000296045 t=23402
min jian 	民間	c=1 d=5.08274e-10 t=23300
min jie 	敏捷	c=0 d=0.0357007 t=23300
min jie xing 	敏捷型	c=1 d=0.358796 t=23300
min ju 	民居	c=1 d=0.000167421 t=23300
ming 	名	c=12 d=0.143704 t=23402
ming 	明	c=9 d=0.352841 t=23402
ming an 	明暗	c=1 d=0.0026852 t=23300
ming bai 	明白	c=4 d=0.0415857 t=23402
ming cheng 	名稱	c=5 d=0.696394 t=23402
ming ci 	名詞	c=2 d=1.3219e-44 t=23402
ming da 	明達	c=0 d=6.70548e-06 t=23300
ming diao 	明調	c=1 d=0.1764 t=23402
ming e 	名額	c=2 d=0.000399619 t=23300
ming gui 	名貴	c=1 d=0.00412784 t=23300
ming guo 	明國	c=0 d=2.84031e-47 t=23402
ming hua 	名畫	c=3 d=0.0116411 t=23300
ming hua jia 	名畫家	c=1 d=0.0049667 t=23300
ming jiao 	明膠	c=1 d=0.301194 t=23402
ming liao 	明瞭	c=1 d=1.30025e-30 t=23402
ming ling 	命令	c=5 d=0.276006 t=23402
ming ling hang 	命令行	c=1 d=0.278037 t=23402
ming ming 	命名	c=2 d=0.343009 t=23402
ming nian 	明年	c=2 d=0.000349153 t=23402
ming pian 	名片	c=6 d=0.331151 t=23402
ming que 	明確	c=8 d=0.631284 t=23402
ming su 	名宿	c=1 d=0.00017252 t=23402
ming tai 	明臺	c=1 d=2.9279e-21 t=23402
ming tian 	明天	c=11 d=0.810584 t=23402
ming wei 	名爲	c=3 d=0.765632 t=23402
ming xi 	明細	c=7 d=0.935839 t=23402
ming xian 	明顯	c=6 d=0.0250972 t=23402
ming xin pian 	明信片	c=3 d=0.786628 t=23402
ming xing 	明星	c=1 d=0.136695 t=23300
ming zhen tan 	名偵探	c=9 d=0.531613 t=23402
ming zhi gu fan 	明知故犯	c=1 d=0.0295994 t=23402
ming zhu 	明珠	c=2 d=2.92829e-44 t=23402
ming zi 	名字	c=6 d=0.682732 t=23402
mo 	墨	c=1 d=2.26695e-11 t=23402
mo 	模	c=1 d=6.91087e-07 t=23402
mo 	膜	c=2 d=0.107606 t=23402
mo 	魔	c=1 d=0.278037 t=23402
mo ban 	模板	c=3 d=0.0850088 t=23402
mo di 	摸底	c=1 d=4.7375e-06 t=23402
mo duan 	末端	c=1 d=1 t=22422
mo fang 	模仿	c=3 d=4.94529e-11 t=23402
mo fang 	魔方	c=4 d=0.258925 t=23402
mo fei 	莫非	c=2 d=1.60436e-32 t=23402
mo fen 	磨粉	c=2 d=6.72284e-06 t=23402
mo gan shan 	莫干山	c=6 d=0.00194013 t=23402
mo he 	墨盒	c=19 d=1.14427 t=23402
mo hu 	模糊	c=2 d=0.398388 t=23402
mo hu ji he 	模糊集合	c=1 d=0.451581 t=23402
mo hu xi tong 	模糊系統	c=1 d=1 t=22690
mo jie zuo 	摩羯座	c=1 d=3.29997e-46 t=23402
mo ju 	模具	c=2 d=0.0176287 t=23402
mo kuai 	模塊	c=68 d=1.82461 t=23402
mo li 	茉莉	c=1 d=1.09414e-29 t=23402
mo li hua 	茉莉花	c=1 d=1.08646e-05 t=23402
mo ming qi miao 	莫名其妙	c=1 d=9.01062e-40 t=23402
mo mo 	陌陌	c=1 d=0.148823 t=23402
mo nai 	莫奈	c=3 d=0.00664551 t=23300
mo ni 	模擬	c=13 d=0.73152 t=23402
mo ni qi 	模擬器	c=2 d=0.00516939 t=23300
mo ren 	默認	c=15 d=1.0315 t=23402
mo sheng 	陌生	c=1 d=0.144424 t=23402
mo sheng ren 	陌生人	c=2 d=0.000431576 t=23300
mo shi 	模式	c=103 d=3.62037 t=23402
mo shi he 	模式和	c=1 d=0.00618889 t=23402
mo shi yan jiu 	模式研究	c=1 d=0.856415 t=23402
mo shu 	魔術	c=3 d=1.29319e-31 t=23402
mo shui 	墨水	c=2 d=0.0485409 t=23402
mo tai 	模態	c=1 d=1 t=22274
mo tou 	魔頭	c=1 d=0.103312 t=23402
mo wang 	魔王	c=1 d=2.83693e-32 t=23402
mo xing 	模型	c=60 d=1.78759 t=23402
mo zha te 	莫扎特	c=7 d=1.7872 t=23402
mo zu 	模組	c=1 d=1 t=22208
mou 	某	c=2 d=4.78512e-06 t=23402
mou ci 	某次	c=1 d=1.64525e-34 t=23402
mou ge 	某個	c=7 d=0.465334 t=23402
mou hang 	某行	c=1 d=1 t=21031
mou xie 	某些	c=1 d=8.25386e-08 t=23300
mou yi 	某一	c=1 d=0.00186406 t=23300
mou yi tian 	某一天	c=1 d=1.42347e-07 t=23300
mou zhong 	某種	c=2 d=0.628135 t=23402
mu 	墓	c=2 d=1 t=23402
mu 	姆	c=1 d=3.27114e-31 t=23402
mu 	木	c=3 d=0.0220377 t=23402
mu 	母	c=3 d=0.035437 t=23402
mu 	牧	c=1 d=7.79704e-44 t=23402
mu 	目	c=8 d=1.72103e-05 t=23402
mu ban 	模板	c=1 d=4.20823e-24 t=23402
mu bei 	墓碑	c=2 d=0.0424257 t=23402
mu biao 	目標	c=16 d=0.46092 t=23402
mu chao 	母巢	c=1 d=4.04598e-32 t=23402
mu chao zhi zhan 	母巢之戰	c=1 d=3.49986e-32 t=23402
mu chong 	木蟲	c=4 d=0.000169103 t=23402
mu di 	目的	c=8 d=0.00606634 t=23402
mu di ban 	木地板	c=1 d=0.697676 t=23402
mu di di 	目的地	c=1 d=0.000207579 t=23300
mu diao 	木雕	c=1 d=1.42516e-21 t=23402
mu gong huo 	木工活	c=1 d=0.054204 t=23402
mu hou 	幕後	c=1 d=0.0232837 t=23402
mu ju 	模具	c=15 d=0.193677 t=23402
mu lu 	目錄	c=3 d=1.04591 t=23402
mu lu xia 	目錄下	c=1 d=0.00204983 t=23402
mu qian 	目前	c=35 d=2.59569 t=23402
mu qin 	母親	c=1 d=4.57456e-06 t=23402
mu rong 	慕容	c=1 d=0.186374 t=23300
mu sai 	木塞	c=1 d=3.51262e-16 t=23402
mu se 	暮色	c=2 d=0.026114 t=23300
mu xing 	木星	c=1 d=6.91418e-42 t=23402
mu yu 	沐浴	c=1 d=5.23664e-08 t=23402
mu yu lu 	沐浴露	c=5 d=0.0312634 t=23402
mu zhi 	拇指	c=3 d=3.7836e-49 t=23402
na 	哪	c=4 d=0.0461896 t=23402
na 	拿	c=2 d=0.726149 t=23402
na 	納	c=1 d=1.78537e-25 t=23402
na 	那	c=36 d=1.41827 t=23402
na ben 	那本	c=1 d=6.71326e-48 t=23402
na bian 	哪邊	c=2 d=0.0713613 t=23402
na bian 	那邊	c=3 d=0.00255424 t=23402
na bu 	那不	c=0 d=4.83239e-05 t=23300
na bu shi 	那不是	c=1 d=0.000485661 t=23300
na chang 	那場	c=1 d=8.33539e-06 t=23402
na ci 	那次	c=4 d=5.27562e-07 t=23402
na cui 	納粹	c=1 d=7.35572e-35 t=23402
na dao 	拿到	c=5 d=0.970492 t=23402
na er 	哪兒	c=0 d=4.22487e-42 t=23402
na er le 	哪兒了	c=2 d=1.18794e-39 t=23402
na ge 	哪個	c=3 d=0.427415 t=23402
na ge 	那個	c=18 d=0.371577 t=23402
na hao 	拿好	c=2 d=0.000349193 t=23300
na jian 	那件	c=1 d=4.27779e-11 t=23402
na jian 	那間	c=1 d=0.190139 t=23300
na jiu 	那就	c=2 d=0.140279 t=23402
na kuai 	那塊	c=1 d=0.0804596 t=23402
na lai 	哪來	c=1 d=5.36156e-50 t=23402
na lai 	拿來	c=1 d=0.159614 t=23300
na li 	哪裏	c=11 d=0.66034 t=23402
na li 	那裏	c=8 d=0.44274 t=23402
na li qu 	哪裏去	c=1 d=4.48627e-12 t=23402
na li ren 	哪裏人	c=1 d=0.000337144 t=23402
na me 	那麼	c=14 d=0.748756 t=23402
na me jiu 	那麼就	c=1 d=0.0395575 t=23402
na me qiang 	那麼強	c=1 d=4.00367e-26 t=23402
na mi 	納米	c=1 d=2.34124e-08 t=23300
na pa 	哪怕	c=1 d=0.774916 t=23300
na pian 	那片	c=1 d=0.000590229 t=23402
na sha 	那啥	c=1 d=0.000207579 t=23300
na shi 	那是	c=1 d=6.23793e-37 t=23402
na shi 	那時	c=1 d=2.60628e-05 t=23402
na shi hou 	那時候	c=1 d=6.13044e-09 t=23300
na tian 	哪天	c=2 d=0.0123732 t=23402
na tian 	那天	c=4 d=5.7298e-08 t=23402
na xie 	哪些	c=7 d=0.00976134 t=23402
na xie 	那些	c=7 d=0.158817 t=23402
na yang 	哪樣	c=1 d=2.97367e-27 t=23402
na yang 	那樣	c=4 d=0.709304 t=23402
na yi 	哪一	c=1 d=0.222681 t=23402
na yi 	那一	c=1 d=4.42851e-36 t=23402
na yi bu 	那一步	c=1 d=2.16713e-40 t=23402
na yi bu fen 	那一部份	c=1 d=0.00447164 t=23402
na yi ke 	那一刻	c=1 d=3.90815e-36 t=23402
na yi kuai 	哪一塊	c=1 d=0.0066709 t=23402
na yi xiang 	那一項	c=1 d=1.15164e-14 t=23402
na zhi 	那隻	c=3 d=1 t=23402
na zhi hou 	那之後	c=1 d=6.13337e-44 t=23402
na zhong 	哪種	c=3 d=3.16798e-07 t=23402
na zhong 	那種	c=2 d=4.96166e-31 t=23402
nai 	乃	c=18 d=0.398519 t=23402
nai 	奶	c=2 d=0.00339653 t=23402
nai nai 	乃乃	c=2 d=0.529935 t=23402
nai zhi 	乃至	c=1 d=0.0131019 t=23402
nan 	南	c=7 d=0.782236 t=23402
nan 	男	c=16 d=0.722631 t=23402
nan 	難	c=4 d=0.975968 t=23402
nan bei 	南北	c=1 d=0.0190631 t=23402
nan dao 	難道	c=1 d=2.16609e-05 t=23402
nan de 	男的	c=1 d=3.8162e-50 t=23402
nan de 	難得	c=4 d=0.0682212 t=23402
nan dian 	難點	c=3 d=7.61462e-07 t=23402
nan du 	難度	c=1 d=3.01348e-07 t=23402
nan fang 	南方	c=3 d=0.244302 t=23402
nan ge lu ji ya 	南格魯吉亞	c=1 d=0.000303539 t=23402
nan guai 	難怪	c=1 d=0.0178634 t=23300
nan hai 	南海	c=7 d=0.956642 t=23402
nan huai jin 	南懷瑾	c=1 d=1 t=23231
nan jing 	南京	c=9 d=0.214381 t=23402
nan jing xi lu 	南京西路	c=1 d=0.0689068 t=23402
nan mi 	難覓	c=1 d=0.677267 t=23402
nan mian 	難免	c=1 d=2.02978e-05 t=23300
nan peng you 	男朋友	c=1 d=1.30765e-38 t=23402
nan shan 	南山	c=0 d=2.77414e-05 t=23402
nan shan lu 	南山路	c=1 d=0.000278804 t=23402
nan sheng 	男生	c=1 d=2.91281e-19 t=23402
nan song 	南宋	c=1 d=3.18647e-46 t=23402
nan tuo zi 	南坨子	c=1 d=0.0232837 t=23402
nan wang 	難忘	c=1 d=0.737123 t=23402
nan yi 	難以	c=6 d=2.53753e-14 t=23402
nan yi 	難易	c=1 d=1.06198e-31 t=23402
nan zhan 	南站	c=1 d=3.8794e-08 t=23402
nan zhuang 	男裝	c=1 d=0.0475963 t=23402
nan zi 	男子	c=4 d=0.499084 t=23402
nao 	腦	c=2 d=0.970446 t=23402
nao can 	腦殘	c=1 d=0.140858 t=23300
nao dai 	腦袋	c=1 d=0.955997 t=23402
nao zi 	腦子	c=4 d=0.000889368 t=23402
ne 	呢	c=20 d=1.05472 t=23402
nei 	內	c=11 d=0.603037 t=23402
nei bu 	內部	c=5 d=0.233468 t=23402
nei ce 	內測	c=1 d=1.1e-33 t=23402
nei cun 	內存	c=4 d=0.485949 t=23402
nei cun tiao 	內存條	c=6 d=0.280398 t=23402
nei han 	內涵	c=3 d=1.81647 t=22987
nei he 	內核	c=3 d=0.0773102 t=23402
nei rong 	內容	c=34 d=2.37696 t=23402
nei shang 	內傷	c=1 d=7.65746e-08 t=23300
nei wang 	內網	c=2 d=0.00135358 t=23402
nei xin 	內心	c=1 d=0.239309 t=23402
nei yi 	內衣	c=3 d=2.95566 t=21519
nei zai 	內在	c=2 d=0.0475963 t=23402
nei zhi 	內置	c=1 d=2.30678e-10 t=23300
neng 	能	c=79 d=1.87928 t=23402
neng bu neng 	能不能	c=7 d=0.357007 t=23402
neng dao 	能到	c=2 d=0.5172 t=23402
neng gan 	能幹	c=1 d=2.0016e-17 t=23402
neng gou 	能夠	c=3 d=0.290835 t=23300
neng hao 	能耗	c=6 d=0.267135 t=23402
neng kan dao 	能看到	c=1 d=6.05769e-45 t=23402
neng lang 	能廊	c=1 d=1 t=22255
neng li 	能力	c=22 d=1.2193 t=23402
neng liang 	能量	c=2 d=1.92312 t=22256
neng neng 	能能	c=1 d=1 t=22869
neng rong 	能榮	c=1 d=0.245367 t=23300
neng yong 	能用	c=1 d=4.2985e-09 t=23402
neng you 	能有	c=1 d=2.53529e-33 t=23402
neng zai 	能在	c=1 d=0.0308074 t=23402
ni 	你	c=164 d=6.33286 t=23402
ni 	妮	c=1 d=8.02629e-32 t=23402
ni 	尼	c=1 d=6.76114e-14 t=23402
ni 	擬	c=4 d=0.0721442 t=23402
ni de 	你的	c=9 d=0.790571 t=23402
ni hao 	你好	c=64 d=2.8032 t=23402
ni he 	擬合	c=2 d=1.07953e-09 t=23402
ni hong 	霓虹	c=0 d=0.000458484 t=23402
ni hong guo 	霓虹國	c=1 d=0.00460782 t=23402
ni kan 	你看	c=1 d=6.82678e-10 t=23300
ni ke yi 	你可以	c=6 d=0.640824 t=23402
ni ma 	尼瑪	c=2 d=4.26675e-10 t=23402
ni men 	你們	c=26 d=1.38154 t=23402
